Group,Feed-id,invsimpson,chao,shannon,ace,simpson
ERR3477397_1,CTM,2.950715,3891.54902,1.558128,8102.006768,0.338901
ERR3477405_1,CTM,4.110517,2268.055556,1.769523,5042.393284,0.243278
ERR3477406_1,MR1,15.881539,2759.82,3.251895,6733.795199,0.062966
ERR3477407_1,MR1,10.656486,2054.021277,2.964765,4635.190615,0.09384
ERR3477408_1,MR1,9.991361,2747.527778,2.910251,6171.654229,0.100086
ERR3477409_1,MR1,25.826705,2671.553191,3.599752,7517.711299,0.03872
ERR3477410_1,MR1,17.849235,3177.5,3.459015,8012.592077,0.056025
ERR3477411_1,MR1,6.509272,2442.375,2.659846,5774.653089,0.153627
ERR3477412_1,MR2,5.811726,4790.435484,2.25782,13654.56674,0.172066
ERR3477413_1,MR2,12.187324,3759.585714,3.238598,9448.343173,0.082052
ERR3477414_1,MR2,10.559408,1676.27027,2.97462,4337.429904,0.094702
ERR3477415_1,MR2,12.387314,4073.666667,3.059456,11257.31597,0.080728
ERR3477416_1,MR1,9.525208,8824.974138,2.986606,27043.09598,0.104985
ERR3477417_1,MR1,18.175019,7663.560748,3.686335,17289.24693,0.055021
ERR3477418_1,MR1,20.15409,9602.686567,3.58944,25040.37393,0.049618
ERR3477419_1,MR1,27.643396,2083.2,3.882016,3215.523041,0.036175
ERR3477420_1,MR2,13.153425,2439.371429,3.113866,7297.149662,0.076026
ERR3477421_1,MR2,9.807974,9444.10687,3.058825,22437.12629,0.101958
ERR3477422_1,MR2,23.898229,7556.782019,3.82899,18528.66961,0.041844
ERR3477423_1,MR2,12.310251,5656.915663,3.522458,13860.55393,0.081233
ERR3477398_1,CTM,5.663404,5343.131579,2.290237,13529.1686,0.176572
ERR3477424_1,MR2,12.384477,2158.358491,4.673,5418.500391,0.080746
ERR3477425_1,MR1,48.321968,4600.1,4.309849,7680.408008,0.020695
ERR3477426_1,MR1,38.735652,4636.381579,3.965082,9353.152829,0.025816
ERR3477427_1,MR1,19.749658,6200.220183,3.965082,13864.03392,0.050634
ERR3477428_1,MR1,26.582906,5841.875,4.548524,10463.03012,0.037618
ERR3477429_1,MR1,13.111093,4304.236364,3.871595,8066.738063,0.076271
ERR3477430_1,MR2,38.115129,5204.7,4.295091,12751.85204,0.026236
ERR3477431_1,MR2,20.321942,5389.303571,3.644285,11905.03027,0.049208
ERR3477432_1,MR2,33.109627,4573.690789,4.55972,10075.14544,0.030203
ERR3477433_1,MR2,43.379627,2178.553571,4.572617,2961.021693,0.023052
ERR3477399_1,CTM,2.823171,1872.679245,1.660154,4751.599066,0.354212
ERR3477434_1,MR2,22.898429,3337.90625,4.468788,5295.610853,0.043671
ERR3477435_1,MR1,11.706597,3349.702703,3.798635,5237.183509,0.085422
ERR3477436_1,MR1,36.516358,4626.270833,4.591896,7274.844406,0.027385
ERR3477437_1,MR1,59.163221,6959.54918,5.110171,11947.9909,0.016902
ERR3477438_1,MR1,33.839345,7900.058824,4.975708,14124.05154,0.029551
ERR3477439_1,MR1,46.902035,6511.00565,4.793858,11730.5888,0.021321
ERR3477440_1,MR2,37.008688,7537.377483,4.617872,15609.98289,0.027021
ERR3477441_1,MR2,17.841796,2214.561798,3.983096,3448.518027,0.056048
ERR3477442_1,MR2,45.772842,6869.072816,5.06839,11538.21758,0.021847
ERR3477443_1,MR2,74.223101,3506.686275,5.279537,4898.815854,0.013473
ERR3477400_1,CTM,3.598564,1326.567568,1.770949,2497.186812,0.277889
ERR3477444_1,MR2,51.444255,5152.533333,5.030677,8404.269222,0.019439
ERR3477401_1,CTM,6.087187,4736.638889,2.244016,12098.04389,0.16428
ERR3477402_1,CTM,6.036103,3398.684932,2.133073,8553.015858,0.16567
ERR3477403_1,CTM,4.926339,3557.017544,2.005319,8791.859851,0.20299
ERR3477404_1,CTM,6.705422,4845.564516,2.441818,9932.553075,0.149133
